"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E550","2020-02-03 00:00:00","84.000","64.000","0.700","13.200","0.950","1013.700","","0.000","-99.000","-99.000","-99.000","19.600","","7.100",""
"C0E740","2020-02-03 00:00:00","27.000","260.000","1.100","13.200","0.990","1014.100","","0.000","-99.000","-99.000","-99.000","20.300","","6.700",""
"C0R650","2020-02-03 00:00:00","29.000","45.000","0.900","15.900","0.890","1019.800","","0.000","-99.000","-99.000","-99.000","25.700","","10.800",""
"C0S750","2020-02-03 00:00:00","2280.000","187.000","0.500","5.500","0.700","776.500","","0.000","-99.000","-99.000","-99.000","8.800","","-0.300",""
"C0I370","2020-02-03 00:00:00","671.000","289.000","1.000","12.300","0.750","946.200","","0.000","-99.000","-99.000","-99.000","19.500","","5.800",""
"C0K400","2020-02-03 00:00:00","65.000","346.000","1.700","15.800","0.960","1015.100","","0.000","-99.000","-99.000","-99.000","22.700","","9.900",""
"C0A650","2020-02-03 00:00:00","287.000","0.000","0.000","10.700","0.990","989.400","","0.000","-99.000","-99.000","-99.000","18.200","","4.500",""
"C0U750","2020-02-03 00:00:00","398.000","196.000","1.800","14.800","0.860","976.000","","0.000","-99.000","-99.000","-99.000","17.000","","11.700",""
"C0M730","2020-02-03 00:00:00","40.000","340.000","1.200","16.700","0.800","1016.400","","0.000","-99.000","-99.000","-99.000","25.400","","10.200",""
"C0Z061","2020-02-03 00:00:00","174.000","133.000","1.000","14.700","0.970","1006.000","","0.000","-99.000","-99.000","-99.000","21.800","","9.400",""
"C0M670","2020-02-03 00:00:00","43.000","329.000","1.900","15.900","0.880","1016.300","","0.000","-99.000","-99.000","-99.000","22.300","","9.200",""
"C0I530","2020-02-03 00:00:00","3014.000","-99.000","-99.000","-2.700","1.000","701.500","","0.000","-99.000","-99.000","-99.000","3.100","","-4.200",""
"C0A880","2020-02-03 00:00:00","6.000","0.000","0.000","14.100","0.900","1020.700","","0.000","-99.000","-99.000","-99.000","20.100","","9.700",""
"C0S950","2020-02-03 00:00:00","415.000","238.000","1.700","14.400","0.900","974.500","","0.000","-99.000","-99.000","-99.000","18.200","","10.900",""
"C0X190","2020-02-03 00:00:00","10.000","16.000","2.100","16.600","0.820","1020.400","","0.000","-99.000","-99.000","-99.000","22.200","","12.800",""
"C0V650","2020-02-03 00:00:00","28.000","34.000","2.500","16.100","0.840","1020.200","","0.000","-99.000","-99.000","-99.000","23.000","","11.900",""
"C0H9C0","2020-02-03 00:00:00","3402.000","310.000","0.800","-4.400","0.920","675.200","","0.000","-99.000","-99.000","-99.000","0.800","","-5.100",""
"C0U780","2020-02-03 00:00:00","15.000","262.000","0.700","16.000","0.870","1021.800","","0.000","-99.000","-99.000","-99.000","19.900","","12.800",""
"C0U760","2020-02-03 00:00:00","22.000","0.000","0.000","15.100","0.990","1022.200","","0.000","-99.000","-99.000","-99.000","20.600","","11.800",""
"C0X290","2020-02-03 00:00:00","10.000","10.000","2.300","16.400","0.860","1020.700","","0.000","-99.000","-99.000","-99.000","19.900","","12.200",""
"C0E830","2020-02-03 00:00:00","37.000","91.000","1.200","15.600","0.800","1018.300","","0.000","-99.000","-99.000","-99.000","19.200","","9.700",""
"C0K330","2020-02-03 00:00:00","38.000","352.000","0.800","15.300","0.880","1017.200","","0.000","-99.000","-99.000","-99.000","22.400","","9.200",""
"C0I420","2020-02-03 00:00:00","305.000","0.000","0.200","13.300","0.810","986.900","","0.000","-99.000","-99.000","-99.000","22.000","","6.700",""
"C0M660","2020-02-03 00:00:00","40.000","343.000","2.900","15.700","0.870","1017.800","","0.000","-99.000","-99.000","-99.000","22.200","","9.900",""
"C0D580","2020-02-03 00:00:00","120.000","0.000","0.000","12.300","0.950","1008.900","","0.000","-99.000","-99.000","-99.000","20.600","","6.600",""
"C0R640","2020-02-03 00:00:00","21.000","45.000","2.200","17.500","0.800","1019.900","","0.000","-99.000","-99.000","-99.000","23.500","","13.700",""
"C0E810","2020-02-03 00:00:00","53.000","151.000","0.600","13.200","0.960","1017.200","","0.000","-99.000","-99.000","-99.000","21.300","","7.100",""
"C0G830","2020-02-03 00:00:00","27.000","2.000","3.100","15.800","0.880","1017.300","","0.000","-99.000","-99.000","-99.000","21.700","","9.600",""
"C0A550","2020-02-03 00:00:00","422.000","0.000","0.000","10.700","1.000","974.000","","0.000","-99.000","-99.000","-99.000","18.000","","4.300",""
"C0G750","2020-02-03 00:00:00","31.000","342.000","1.500","15.500","0.850","1019.500","","0.000","-99.000","-99.000","-99.000","21.400","","9.700",""
"C0Z270","2020-02-03 00:00:00","343.000","227.000","2.100","15.000","0.790","983.500","","0.000","-99.000","-99.000","-99.000","18.600","","10.900",""
"C0UA30","2020-02-03 00:00:00","1397.000","148.000","0.900","8.200","1.000","866.600","","0.000","-99.000","-99.000","-99.000","12.200","","2.900",""
"C0I080","2020-02-03 00:00:00","536.000","274.000","0.500","12.700","0.760","963.300","","0.000","-99.000","-99.000","-99.000","20.800","","7.800",""
"C0UA00","2020-02-03 00:00:00","392.000","287.000","0.700","12.800","0.900","978.600","","0.000","-99.000","-99.000","-99.000","20.400","","9.200",""
"C0AD40","2020-02-03 00:00:00","32.000","0.000","0.000","14.700","0.860","1018.900","","0.000","-99.000","-99.000","-99.000","22.600","","12.700",""
"C0G900","2020-02-03 00:00:00","20.000","30.000","3.200","17.700","0.860","1018.800","","0.000","-99.000","-99.000","-99.000","19.700","","11.100",""
"C0S660","2020-02-03 00:00:00","794.000","223.000","1.100","11.500","0.890","934.100","","0.000","-99.000","-99.000","-99.000","16.700","","6.400",""
"C0M640","2020-02-03 00:00:00","155.000","284.000","1.100","15.600","0.770","1003.400","","0.000","-99.000","-99.000","-99.000","22.200","","11.300",""
"C0R660","2020-02-03 00:00:00","20.000","0.000","0.200","16.600","0.770","1020.000","","0.000","-99.000","-99.000","-99.000","22.900","","12.400",""
"C0UA10","2020-02-03 00:00:00","1711.000","348.000","0.900","4.800","1.000","836.700","","0.000","-99.000","-99.000","-99.000","12.400","","-0.100",""
"C0V770","2020-02-03 00:00:00","26.000","55.000","0.600","15.700","0.770","1018.400","","0.000","-99.000","-99.000","-99.000","24.700","","11.700",""
"C0E730","2020-02-03 00:00:00","26.000","129.000","0.700","14.300","0.840","1018.700","","0.000","-99.000","-99.000","-99.000","19.800","","8.800",""
"C0V810","2020-02-03 00:00:00","32.000","0.000","0.000","17.000","0.760","-99.000","","0.000","-99.000","-99.000","-99.000","22.200","","13.500",""
"C0A9C0","2020-02-03 00:00:00","35.000","0.000","0.200","16.300","0.810","1019.200","","0.000","-99.000","-99.000","-99.000","22.000","","14.500",""
"C0X310","2020-02-03 00:00:00","9.000","16.000","3.300","16.600","0.830","1021.500","","0.000","-99.000","-99.000","-99.000","20.400","","11.800",""
"C0K280","2020-02-03 00:00:00","23.000","351.000","2.700","15.800","0.880","1021.500","","0.000","-99.000","-99.000","-99.000","23.100","","8.700",""
"C0M650","2020-02-03 00:00:00","20.000","6.000","1.800","15.500","0.870","1019.900","","0.000","-99.000","-99.000","-99.000","22.600","","10.200",""
"C0S910","2020-02-03 00:00:00","212.000","93.000","0.900","18.600","0.800","998.500","","0.000","-99.000","-99.000","-99.000","20.800","","17.700",""
"C0M710","2020-02-03 00:00:00","15.000","7.000","2.000","15.800","0.840","1020.200","","0.000","-99.000","-99.000","-99.000","20.500","","11.000",""
"C0V490","2020-02-03 00:00:00","20.000","354.000","0.700","17.800","0.690","1019.400","","0.000","-99.000","-99.000","-99.000","23.300","","14.900",""
"C0E870","2020-02-03 00:00:00","34.000","116.000","0.700","13.700","0.940","1020.900","","0.000","-99.000","-99.000","-99.000","19.600","","7.500",""
"C0M800","2020-02-03 00:00:00","440.000","100.000","0.300","13.100","0.740","971.500","","0.000","-99.000","-99.000","-99.000","21.900","","9.100",""
"C0A570","2020-02-03 00:00:00","360.000","84.000","0.600","11.700","0.970","981.700","","0.000","-99.000","-99.000","-99.000","18.800","","7.700",""
"C0S790","2020-02-03 00:00:00","236.000","282.000","2.500","15.500","0.830","996.800","","-99.000","-99.000","-99.000","-99.000","24.400","","12.500",""
"C0D590","2020-02-03 00:00:00","143.000","139.000","0.400","14.000","0.840","1007.200","","0.000","-99.000","-99.000","-99.000","19.800","","10.400",""
